organization,repository,ecosystem,package,version_spec,license,source_file,lookup_error
vector-charts,vector-charts-portal,npm,@emotion/react,^11.11.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@emotion/styled,^11.11.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@fullhex/utils-js,^0.0.4,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@stripe/react-stripe-js,^2.1.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@stripe/stripe-js,^1.54.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@uidotdev/usehooks,^2.3.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,axios,^0.21.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,focus-visible,^5.2.0,W3C,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,framer-motion,^10.16.2,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,maplibre-gl,^3.6.2,BSD-3-Clause,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,moment,^2.29.4,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,normalize.css,^8.0.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,query-string,^8.1.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react,18.2.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-color,^2.19.3,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-detect-click-outside,^1.1.7,ISC,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-dom,18.2.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-icons,^4.10.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-router-dom,^5.3.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-use,^17.4.0,Unlicense,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,react-use-pagination,^2.0.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,socket.io-client,^4.8.3,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,staticmaps,^1.13.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,uplot,^1.6.27,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,uplot-react,^1.1.5,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,uuid,^9.0.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,validator,^13.11.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@vitejs/plugin-react,^3.1.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,concurrently,^6.3.0,MIT,services/frontend/package.json,
